,Company Name,Job Title,location,Job URL,Date
42,Deloitte,¡Únete al Strategy Horizon Program!,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/%C2%A1%C3%BAnete-al-strategy-horizon-program%21-at-deloitte-3919845692?position=43&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=IxLXo2QqWyHpBQVgGLbJ3w%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-30
43,Capgemini Invent,Cybersecurity Intern,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/cybersecurity-intern-at-capgemini-invent-3942644403?position=44&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=wZHyz%2BDjeZgiSqUW4OPonQ%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-05
44,Boston Consulting Group (BCG),"AI Engineer, Internship, Spain - BCG X","Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/ai-engineer-internship-spain-bcg-x-at-boston-consulting-group-bcg-3936920684?position=45&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=N%2ByvnlGuBikTxq03%2BCflfA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-28
45,Xiaomi Technology,Spain Marketing Intern,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/spain-marketing-intern-at-xiaomi-technology-3927672026?position=46&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=OpdI9eOQpwAfNItt1rl%2Fyw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-29
46,Galenicum,Quality Assurance Internship,"Esplugues de Llobregat, Catalonia, Spain",https://es.linkedin.com/jobs/view/quality-assurance-internship-at-galenicum-3931265146?position=47&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=zRxCGEy2447PkUpxGWK7Lg%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-24
47,Fever,Becas de Excelencia - Engineering,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/becas-de-excelencia-engineering-at-fever-3673087686?position=48&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=rADt2354YIcIdWL9qDA1cA%3D%3D&trk=public_jobs_jserp-result_search-card,2023-06-27
48,Technip Energies,Data Management Internship,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/data-management-internship-at-technip-energies-3904836014?position=49&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=NS%2FSw7NkQ%2BO%2BoAO7zal7Qw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-22
49,Loewe,Merchandising Internship EMEA,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/merchandising-internship-emea-at-loewe-3931123810?position=50&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=E4iq6gDPbtfyQ%2Fw9xN0bWQ%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-22
50,Schneider Electric,Prácticas en Data Science & Analytics SETP24,Greater Barcelona Metropolitan Area,https://es.linkedin.com/jobs/view/pr%C3%A1cticas-en-data-science-analytics-setp24-at-schneider-electric-3921393062?position=51&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=bN2P4RKPnvz94njC82lsfA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-10
51,Publicis Media,Digital Business Trainee,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/digital-business-trainee-at-publicis-media-3924966305?position=52&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=DRfqeMkhljRuuDU3PPtC2g%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-14
52,GMV,Internship: Artificial Intelligence for Medical Imaging,"Tres Cantos, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/internship-artificial-intelligence-for-medical-imaging-at-gmv-3930134049?position=53&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=NceGL8ltFG4UY7jqG2U%2F1A%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-20
53,Grupo Planeta,Prácticas Data Engineer,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/pr%C3%A1cticas-data-engineer-at-grupo-planeta-3928023701?position=54&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=IShBrUXGak8hFZaLgFZ7cA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-16
54,ENGIE España,Financial Operations Internship,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/financial-operations-internship-at-engie-espa%C3%B1a-3932905798?position=55&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=DnT9X9hppCBpKEgTfnq82w%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-28
55,Beiersdorf,Supply Chain Graduate/Intern,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/supply-chain-graduate-intern-at-beiersdorf-3940359213?position=56&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=91fkvbA%2BId9deJ9MEQUTQQ%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-06
56,Teads,Graphic Designer - 6 Months Internship,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/graphic-designer-6-months-internship-at-teads-3916786025?position=57&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=8mksDwQ2uG%2FdSYQWorz8ew%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-07
57,Criteo,BI Analyst Intern,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/bi-analyst-intern-at-criteo-3933725160?position=58&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=OCcGWKp2cs8yErs8dsBUmw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-23
58,myGwork - LGBTQ+ Business Community,Business Analyst Intern,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/business-analyst-intern-at-mygwork-lgbtq%2B-business-community-3852324110?position=59&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=OUygQbu%2FqjqQV%2F8k2ogaJA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-03-13
59,Spain Internship,"Paid 700€/month - English market research internship in Madrid, Spain","Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/paid-700%E2%82%AC-month-english-market-research-internship-in-madrid-spain-at-spain-internship-3918614893?position=60&pageNum=0&refId=KjaPJCjmja%2FzYS50WtNZsg%3D%3D&trackingId=nOCVGFuK%2Bqu62pCj2z%2Brow%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-06
60,dsm-firmenich,RA Data Analytics Trainee,Greater Barcelona Metropolitan Area,https://es.linkedin.com/jobs/view/ra-data-analytics-trainee-at-dsm-firmenich-3931134714?position=1&pageNum=2&refId=cIn8FEclXXJ%2F%2B7IOMEN%2B3g%3D%3D&trackingId=MXJpH0Vb%2FdgQd69plHtQQA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-22
61,"Mattel, Inc.",Financial Analyst Intern EMEA,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/financial-analyst-intern-emea-at-mattel-inc-3910064450?position=2&pageNum=2&refId=cIn8FEclXXJ%2F%2B7IOMEN%2B3g%3D%3D&trackingId=Kg0zWJpCK9HQm3RHNIPJmg%3D%3D&trk=public_jobs_jserp-result_search-card,2024-04-26
62,Accor,Corporate Social Responsibility Intern,Greater Madrid Metropolitan Area,https://es.linkedin.com/jobs/view/corporate-social-responsibility-intern-at-accor-3941117742?position=3&pageNum=2&refId=cIn8FEclXXJ%2F%2B7IOMEN%2B3g%3D%3D&trackingId=XsSzeYSixqslihn9eRP6Cw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-03
63,NTT DATA Europe & Latam,Business Consulting Internship - Barcelona,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/business-consulting-internship-barcelona-at-ntt-data-europe-latam-3932138553?position=4&pageNum=2&refId=cIn8FEclXXJ%2F%2B7IOMEN%2B3g%3D%3D&trackingId=p3eTlVQR5SDI0WQaMq2L7Q%3D%3D&trk=public_jobs_jserp-result_search-card,2024-05-23
64,bsport,Data Entry Specialist - Internship,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/data-entry-specialist-internship-at-bsport-3943436516?position=5&pageNum=2&refId=cIn8FEclXXJ%2F%2B7IOMEN%2B3g%3D%3D&trackingId=7ekU9w2xd6PVRkrqxMgVnA%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-06
65,EUDE Business School,PROCESO DE SELECCIÓN CERRADO. Beca para data analyst,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/proceso-de-selecci%C3%B3n-cerrado-beca-para-data-analyst-at-eude-business-school-3940375101?position=6&pageNum=2&refId=cIn8FEclXXJ%2F%2B7IOMEN%2B3g%3D%3D&trackingId=ynISR2gKmhaGHya6iW27nw%3D%3D&trk=public_jobs_jserp-result_search-card,2024-06-06
66,myGwork - LGBTQ+ Business Community,Data Analyst Intern - Business Performance Analytics,"Barcelona, Catalonia, Spain",https://es.linkedin.com/jobs/view/data-analyst-intern-business-performance-analytics-at-mygwork-lgbtq%2B-business-community-3891216478?position=7&pageNum=2&refId=cIn8FEclXXJ%2F%2B7IOMEN%2B3g%3D%3D&trackingId=gXhbTsJ%2FQEuGWvC6wgVWyg%3D%3D&trk=public_jobs_jserp-result_search-card,2024-04-11
